anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
The Prince of Tennis II,https://www.crunchyroll.com/the-prince-of-tennis-ii ,20,4.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
My Love Story!!,https://www.crunchyroll.com/my-love-story ,24,4.88,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pet Girl of Sakurasou,https://www.crunchyroll.com/the-pet-girl-of-sakurasou ,24,4.79,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gurren Lagann,https://www.crunchyroll.com/gurren-lagann ,27,4.85,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Fullmetal Alchemist: Brotherhood,https://www.crunchyroll.com/fullmetal-alchemist-brotherhood ,64,4.93,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Black Bullet,https://www.crunchyroll.com/black-bullet ,13,4.11,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Twin Star Exorcists,https://www.crunchyroll.com/twin-star-exorcists ,50,3.88,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Recovery of a MMO Junkie,https://www.crunchyroll.com/recovery-of-an-mmo-junkie ,23,4.72,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magi,https://www.crunchyroll.com/magi ,25,4.69,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Classroom of the Elite,https://www.crunchyroll.com/classroom-of-the-elite ,12,4.47,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nisekoi,https://www.crunchyroll.com/nisekoi ,33,4.28,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wise Man's Grandchild,https://www.crunchyroll.com/wise-mans-grandchild ,12,3.65,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bungo Stray Dogs,https://www.crunchyroll.com/bungo-stray-dogs ,63,4.63,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Monthly Girls' Nozaki-kun,https://www.crunchyroll.com/monthly-girls-nozaki-kun ,12,4.8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,https://www.crunchyroll.com/orange ,26,4.55,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mobile Suit GUNDAM Iron Blooded Orphans,https://www.crunchyroll.com/mobile-suit-gundam-iron-blooded-orphans ,50,4.57,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Yamada-kun and the Seven Witches,https://www.crunchyroll.com/yamada-kun-and-the-seven-witches ,24,4.71,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Domestic Girlfriend,https://www.crunchyroll.com/domestic-girlfriend ,12,4.4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Stage!!,https://www.crunchyroll.com/love-stage ,10,4.72,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAGUYA-SAMA: LOVE IS WAR,https://www.crunchyroll.com/kaguya-sama-love-is-war ,12,4.83,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY SEVEN,https://www.crunchyroll.com/trinity-seven ,14,4.25,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
